# 1. proc label     2. energy            3. bias correction   4. niters  5. time
103.5547619047619    -9.296580466262e-01   3.786178556360e-04   1.0355e+02   9.0494e+04
104.09285714285714    -9.356215567440e-01   3.540685622231e-04   1.0409e+02   9.3869e+04
104.02222222222223    -9.394881954245e-01   3.943574975049e-04   1.0402e+02   9.1576e+04
103.27142857142857    -9.113586034815e-01   3.628908171116e-04   1.0327e+02   9.3625e+04
104.00396825396825    -9.264633088647e-01   3.715850295256e-04   1.0400e+02   9.0219e+04
102.40873015873017    -9.144777779408e-01   3.873691855927e-04   1.0241e+02   8.7416e+04
104.55238095238096    -9.358144132366e-01   3.625958794229e-04   1.0455e+02   9.8135e+04
103.98333333333333    -9.259436412878e-01   3.755576036129e-04   1.0398e+02   9.5550e+04
102.3873015873016    -9.081408191891e-01   3.216260910521e-04   1.0239e+02   8.8872e+04
103.26031746031747    -9.099878825554e-01   3.908631611912e-04   1.0326e+02   9.1917e+04
103.76349206349207    -9.215220381039e-01   3.923005799415e-04   1.0376e+02   8.8443e+04
103.4920634920635    -8.850348640275e-01   3.416519715654e-04   1.0349e+02   9.1208e+04
102.24047619047619    -9.005242709514e-01   3.780465928942e-04   1.0224e+02   8.9664e+04
          103.1    -9.030367443418e-01   3.642179607816e-04   1.0310e+02   8.8241e+04
104.51825396825397    -9.199485780803e-01   3.086313209088e-04   1.0452e+02   1.0259e+05
103.27539682539683    -9.158948126772e-01   3.561081129018e-04   1.0328e+02   9.8628e+04
103.98412698412699    -9.066659493185e-01   2.936317905791e-04   1.0398e+02   9.5220e+04
103.88650793650794    -9.191448738135e-01   3.246617317798e-04   1.0389e+02   9.1027e+04
101.56190476190476    -9.110654132658e-01   2.850288737357e-04   1.0156e+02   9.5952e+04
103.11111111111111    -9.170410416139e-01   3.409046864276e-04   1.0311e+02   8.6788e+04
103.66190476190476    -9.020530160514e-01   4.027972545491e-04   1.0366e+02   9.1403e+04
103.62301587301587    -9.153694929692e-01   3.251519853888e-04   1.0362e+02   9.4693e+04
103.29206349206349    -9.247357721878e-01   5.240530120596e-04   1.0329e+02   9.5712e+04
103.92857142857143    -9.328241079525e-01   3.482664837019e-04   1.0393e+02   9.6320e+04
104.42777777777778    -9.199179446033e-01   3.909311210891e-04   1.0443e+02   9.3275e+04
105.54523809523809    -9.206390123214e-01   4.268588641244e-04   1.0555e+02   9.3516e+04
104.02142857142857    -9.241664218818e-01   4.383210292077e-04   1.0402e+02   8.4614e+04
103.66428571428571    -9.164345667677e-01   3.601898011116e-04   1.0366e+02   8.6596e+04
103.52063492063492    -9.288491137314e-01   3.266389344640e-04   1.0352e+02   9.5427e+04
102.56904761904762    -9.039411080646e-01   3.002886553095e-04   1.0257e+02   7.9105e+04
102.51904761904763    -9.071760939819e-01   2.777405716884e-04   1.0252e+02   8.5426e+04
106.02142857142857    -9.375693573762e-01   3.515105850919e-04   1.0602e+02   9.6820e+04
103.5531746031746    -9.046629636701e-01   3.300149323700e-04   1.0355e+02   9.6448e+04
104.20079365079366    -9.182692510287e-01   3.562588419216e-04   1.0420e+02   9.0973e+04
104.1595238095238    -9.239032106536e-01   3.868774295969e-04   1.0416e+02   9.7392e+04
104.48809523809524    -9.397401406702e-01   3.620275553018e-04   1.0449e+02   9.1888e+04
102.67539682539683    -9.397559252254e-01   3.318589157349e-04   1.0268e+02   8.4211e+04
105.44285714285714    -9.485051736450e-01   3.391307591972e-04   1.0544e+02   9.2774e+04
103.95476190476191    -9.179053768859e-01   3.099670107920e-04   1.0395e+02   9.4151e+04
